,Auto,MPG,CYLINDERS,SIZE,HP,WEIGHT,ACCEL,ENG_TYPE
0,Buick Estate Wagon,16.9,8.0,350.0,155.0,4.36,14.9,1.0
1,Ford Country Sq. Wagon,15.5,8.0,351.0,NaN,4.053999999999999,14.3,1.0
2,Chevy Malibu Wagon,19.2,8.0,267.0,125.0,3.605,15.0,1.0
3,Chrys Lebaron Wagon,18.5,8.0,360.0,150.0,3.94,13.0,1.0
4,Chevette,30.0,4.0,98.0,68.0,2.155,16.5,0.0
5,Toyota Corona,27.5,4.0,134.0,95.0,2.56,14.2,0.0
6,Datsun 510,27.2,4.0,119.0,97.0,2.3,14.7,0.0
7,Dodge Omni,30.9,4.0,105.0,75.0,2.23,14.5,NaN
8,Audi 5000,20.3,5.0,131.0,NaN,2.83,15.9,0.0
9,Volvo 240 GL,17.0,6.0,163.0,125.0,3.14,13.6,0.0
10,Saab 99 GLE,21.6,NaN,121.0,115.0,2.795,15.7,0.0
11,Peugeot 694 SL,16.2,6.0,NaN,133.0,3.41,15.8,0.0
12,Buick Century Spec.,20.6,NaN,231.0,105.0,3.38,15.8,0.0
13,Mercury Zephyr,20.8,6.0,200.0,85.0,NaN,16.7,0.0
14,Dodge Aspen,18.6,6.0,225.0,110.0,3.62,18.7,0.0
15,AMC Concord D/L,18.1,NaN,258.0,120.0,3.41,NaN,0.0
16,Chevy Caprice Classic,17.0,NaN,305.0,130.0,NaN,15.4,1.0
17,Ford LTD,17.6,8.0,302.0,129.0,3.725,NaN,NaN
18,Mercury Grand Marquis,16.5,8.0,351.0,138.0,3.955,13.2,1.0
19,Dodge St Regis,18.2,8.0,318.0,135.0,3.83,NaN,1.0
20,Ford Mustang 4,26.5,4.0,140.0,NaN,2.585,14.4,0.0
21,Ford Mustang Ghia,21.9,6.0,171.0,NaN,2.91,16.6,1.0
22,Mazda GLC,34.1,4.0,86.0,65.0,NaN,15.2,0.0
23,Dodge Colt,35.1,4.0,98.0,80.0,1.915,14.4,0.0
24,AMC Spirit,27.4,4.0,121.0,NaN,2.67,15.0,0.0
25,VW Scirocco,31.5,4.0,89.0,71.0,1.99,14.9,0.0
26,Honda Accord,29.5,4.0,98.0,68.0,NaN,16.6,0.0
27,Buick Skylark,28.4,4.0,151.0,90.0,2.67,16.0,0.0
28,Chevy Citation,28.8,6.0,173.0,115.0,2.595,11.3,1.0
29,Olds Omega,26.8,6.0,173.0,115.0,2.7,12.9,1.0
30,Pontiac Phoenix,33.5,4.0,151.0,90.0,2.556,13.2,0.0
31,Plymouth Horizon,34.2,4.0,105.0,70.0,2.2,13.2,0.0
32,Datsun 210,31.8,4.0,85.0,65.0,2.02,19.2,NaN
33,Fiat Strada,37.3,4.0,91.0,69.0,2.13,14.7,0.0
34,VW Dasher,30.5,4.0,NaN,78.0,NaN,14.1,0.0
35,Datsun 810,22.0,6.0,NaN,97.0,2.815,14.5,0.0
36,BMW 320i,21.5,4.0,121.0,110.0,NaN,NaN,0.0
37,VW Rabbit,31.9,4.0,89.0,71.0,1.925,14.0,0.0
